id_municipio,ano,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,indice_consumo_agua_per_capita,extensao_rede_agua,extensao_rede_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,investimento_total_municipio,indice_saneamento_0_100,ranking_saneamento,prioridade_intervencao,investimento_norm_0_1,risco_saneamento_baixo_investimento
3530201,2022,64.33,54.17,95.7,100.0,20.63,155.7,40.77,56.52,4524.0,3922.0,0.0,74.54915205869219,486.0,158.0,0.0,0.2545084794130781
3532009,2022,81.26,79.14,100.0,100.0,22.93,153.8,110.75,55.76,4612.0,4460.0,0.0,86.52254149090976,303.0,341.0,0.0,0.13477458509090245
3538709,2022,100.0,100.0,100.0,100.0,53.93,206.7,1741.04,1446.0,170365.0,165446.0,0.0,93.31449043598994,98.0,546.0,0.0,0.06685509564010061
3541109,2022,87.85,85.67,100.0,100.0,20.42,150.4,22.29,17.06,1642.0,1611.0,0.0,90.36390387735604,193.0,451.0,0.0,0.09636096122643967
3544251,2022,76.01,74.58,99.77,100.0,21.14,174.6,127.44,120.83,6697.0,6582.0,0.0,84.04263156300263,358.0,286.0,0.0,0.15957368436997366
3552106,2022,51.68,49.29,71.91,99.08,27.73,186.3,150.96,117.19,10253.0,9086.0,0.0,62.83185451552761,587.0,57.0,0.0,0.3716814548447239
3554508,2022,92.05,84.66,80.0,60.0,56.36,171.5,149.86,182.36,15052.0,13706.0,0.0,73.00738355011899,501.0,143.0,0.0,0.26992616449881013
3554755,2022,100.0,100.0,72.43,100.0,9.66,275.3,13.0,12.1,758.0,734.0,0.0,92.0251981515618,139.0,505.0,0.0,0.07974801848438207
3504909,2022,74.49,72.09,88.94,100.0,25.47,147.5,42.53,19.98,3668.0,3443.0,0.0,79.77335592582763,419.0,225.0,0.0,0.20226644074172373
3507159,2022,63.35,60.28,99.95,100.0,34.07,121.1,23.11,9.77,960.0,897.0,0.0,75.24539609691055,478.0,166.0,0.0,0.24754603903089445
3507506,2022,97.55,92.5,92.08,100.0,33.01,182.2,726.13,521.73,62607.0,59207.0,0.0,91.32863944519205,166.0,478.0,0.0,0.0867136055480795
3519709,2022,36.2,14.6,36.95,100.0,36.84,187.9,145.61,55.77,17062.0,6652.0,0.0,39.985183899076716,638.0,6.0,0.0,0.6001481610092329
3520202,2022,48.43,24.67,42.7,100.0,22.11,240.4,66.62,16.31,3372.0,1552.0,0.0,49.24310083056472,626.0,18.0,0.0,0.5075689916943528
3526100,2022,56.31,50.38,81.3,100.0,30.51,163.6,76.7,45.98,5380.0,4266.0,0.0,66.5699971699018,562.0,82.0,0.0,0.33430002830098204
3527405,2022,97.05,95.25,100.0,100.0,24.08,153.3,96.23,96.34,7588.0,7471.0,0.0,94.95922548035074,55.0,589.0,0.0,0.050407745196492604
3529658,2022,84.94,78.28,98.23,100.0,14.03,175.2,14.45,8.58,799.0,752.0,0.0,87.98943381131062,267.0,377.0,0.0,0.12010566188689387
3531902,2022,95.97,91.98,41.5,100.0,17.0,540.2,163.0,163.0,10582.0,10571.0,0.0,80.30540407562785,416.0,228.0,0.0,0.1969459592437215
3545159,2022,81.56,80.28,100.0,100.0,23.91,169.1,51.92,47.83,3041.0,2982.0,0.0,86.78105180895602,297.0,347.0,0.0,0.13218948191043978
3552601,2022,100.0,100.0,94.3,100.0,11.82,318.2,108.0,108.0,4788.0,4778.0,0.0,97.13353685768797,19.0,625.0,0.0,0.028664631423120257
3553906,2022,90.91,89.2,100.0,100.0,11.35,144.7,36.19,36.73,2589.0,2547.0,0.0,93.25704516323891,101.0,543.0,0.0,0.06742954836761084
3556008,2022,89.92,89.92,93.71,89.14,3.65,451.1,45.0,20.0,6138.0,5717.0,0.0,90.16432384690054,199.0,445.0,0.0,0.0983567615309946
3500808,2022,82.99,75.12,100.0,100.0,17.7,194.7,33.24,31.33,1966.0,1796.0,0.0,86.60550387635601,301.0,343.0,0.0,0.13394496123643984
3501202,2022,67.36,67.36,68.42,100.0,7.59,197.2,15.77,18.94,1335.0,1270.0,0.0,73.73376782280799,495.0,149.0,0.0,0.26266232177192006
3507407,2022,93.95,91.38,100.0,90.0,39.38,194.9,75.0,75.0,11386.0,10894.0,226268.86,88.97196467695359,230.0,414.0,0.00852814406556336,0.10933986649051353
3517109,2022,58.05,56.96,100.0,100.0,18.23,223.0,25.35,21.88,1529.0,1506.0,0.0,74.88481662378797,480.0,164.0,0.0,0.25115183376212036
3518008,2022,88.16,85.01,100.0,100.0,12.11,185.5,31.41,14.32,904.0,864.0,0.0,91.3084567265421,167.0,477.0,0.0,0.08691543273457891
3522000,2022,84.69,84.69,85.71,100.0,44.74,187.8,20.0,24.0,1640.0,1640.0,0.0,82.70325122364832,381.0,263.0,0.0,0.17296748776351678
3522703,2022,99.81,99.81,89.04,100.0,21.73,215.7,230.0,240.0,17325.0,17174.0,0.0,94.5097793383056,62.0,582.0,0.0,0.054902206616943894
3529005,2022,100.0,100.0,83.46,67.51,42.24,196.4,831.14,821.03,97356.0,90415.0,0.0,83.47777796208187,368.0,276.0,0.0,0.16522222037918122
3533502,2022,88.23,87.99,92.68,100.0,10.29,199.7,195.22,126.86,16962.0,16936.0,0.0,90.52955076361901,188.0,456.0,0.0,0.09470449236380984
3546801,2022,58.9,45.17,63.96,9.6,37.48,188.0,123.56,79.01,12740.0,8353.0,0.0,40.71843805846933,636.0,8.0,0.0,0.5928156194153067
3556701,2022,97.1,90.05,85.0,99.95,28.59,196.1,573.58,359.97,27356.0,24774.0,0.0,89.36249294836242,216.0,428.0,0.0,0.10637507051637585
3504800,2022,100.0,100.0,100.0,100.0,22.78,202.5,60.0,60.0,4067.0,4040.0,166821.59,97.17604472708791,18.0,626.0,0.006287557875910737,0.02806199490694664
3510807,2022,99.71,99.66,86.94,96.46,25.87,143.2,171.06,170.15,10771.0,10614.0,0.0,92.62685073289661,124.0,520.0,0.0,0.07373149267103385
3524501,2022,100.0,100.0,91.97,0.0,20.34,169.6,50.0,50.0,3225.0,3065.0,0.0,73.28235762428102,498.0,146.0,0.0,0.26717642375718986
3528700,2022,58.45,57.77,100.0,100.0,13.47,149.9,16.6,15.27,943.0,935.0,0.0,75.79680855962684,472.0,172.0,0.0,0.24203191440373162
3533700,2022,79.82,79.82,64.14,100.0,24.45,546.1,13.75,13.75,1753.0,1745.0,83327.57,77.29581501124288,449.0,195.0,0.0031406421616890436,0.22632879268134648
3538006,2022,96.7,94.29,91.21,100.0,31.22,163.0,618.53,452.78,60768.0,58341.0,0.0,91.56628683545415,154.0,490.0,0.0,0.08433713164545853
3544202,2022,98.26,96.9,93.36,100.0,10.62,238.1,64.71,51.36,3609.0,3569.0,0.0,95.76110913453086,38.0,606.0,0.0,0.04238890865469147
3550803,2022,76.58,76.58,80.0,100.0,17.51,188.5,63.52,63.33,3762.0,3582.0,0.0,80.3115473741064,415.0,229.0,0.0,0.19688452625893604
3555208,2022,70.74,70.19,100.0,100.0,13.23,191.9,15.45,14.11,861.0,836.0,0.0,82.47315319442916,386.0,258.0,0.0,0.1752684680557084
3502002,2022,79.17,79.17,100.0,100.0,50.55,32.2,62.0,62.0,2173.0,1892.0,0.0,82.52569436783706,385.0,259.0,0.0,0.17474305632162934
3508009,2022,85.34,77.48,96.44,100.0,33.19,129.5,83.55,66.2,7114.0,6451.0,0.0,85.07718554478087,335.0,309.0,0.0,0.14922814455219124
3508405,2022,75.9,69.0,81.12,100.0,28.21,175.5,184.56,103.43,13482.0,11708.0,0.0,77.0990726364569,452.0,192.0,0.0,0.229009273635431
3509304,2022,94.7,94.7,86.59,0.0,7.3,198.1,39.58,39.58,4005.0,3943.0,0.0,70.7246414054416,525.0,119.0,0.0,0.292753585945584
3509809,2022,98.94,98.94,19.97,55.61,20.0,217.8,47.93,80.06,1727.0,1706.0,0.0,67.41282469254541,554.0,90.0,0.0,0.32587175307454586
3509908,2022,76.34,70.81,85.21,100.0,33.62,201.8,118.45,56.11,5830.0,4970.0,0.0,78.02706130778763,437.0,207.0,0.0,0.21972938692212363
3511706,2022,98.4,78.37,69.96,98.3,40.91,164.5,82.0,45.46,6862.0,5389.0,0.0,81.09332058137564,403.0,241.0,0.0,0.18906679418624361
3513504,2022,85.89,58.79,52.86,100.0,45.92,176.5,256.52,149.66,30721.0,18199.0,0.0,68.0756398732868,550.0,94.0,0.0,0.3192436012671319
3515129,2022,76.05,75.98,97.56,100.0,13.51,175.6,14.86,12.24,1197.0,1188.0,0.0,84.8206435341658,337.0,307.0,0.0,0.15179356465834204
3516705,2022,89.36,89.36,75.52,100.0,32.85,180.4,209.97,174.01,18527.0,17955.0,0.0,84.18503872417669,353.0,291.0,0.0,0.15814961275823303
3521002,2022,71.76,55.21,67.92,100.0,32.11,145.7,38.32,41.57,10474.0,7995.0,0.0,68.63213578907632,544.0,100.0,0.0,0.3136786421092368
3529500,2022,90.94,90.94,94.97,100.0,80.08,486.8,49.0,47.0,5995.0,3921.0,0.0,83.96145928380173,360.0,284.0,0.0,0.16038540716198268
3532058,2022,99.16,99.16,40.8,100.0,18.91,275.6,17.46,17.36,1327.0,1323.0,0.0,82.65121819149074,383.0,261.0,0.0,0.17348781808509262
3535804,2022,65.17,54.02,80.44,100.0,10.97,176.3,102.09,57.56,6509.0,5548.0,0.0,72.18979834123431,510.0,134.0,0.0,0.2781020165876569
3541604,2022,93.93,91.09,87.5,99.18,20.0,208.9,137.0,169.0,15051.0,13632.0,0.0,90.26065223618946,196.0,448.0,0.0,0.09739347763810546
3551108,2022,78.65,47.69,70.41,100.0,19.97,172.5,89.61,61.81,4460.0,2599.0,0.0,70.70674554423437,526.0,118.0,0.0,0.2929325445576564
3552007,2022,46.28,39.38,92.24,100.0,18.21,155.1,26.59,16.45,1661.0,1420.0,0.0,65.13491152240843,571.0,73.0,0.0,0.34865088477591566
3552205,2022,98.51,98.54,92.76,98.92,35.81,181.7,2135.0,1484.0,242713.0,234165.0,0.0,92.74711388505679,120.0,524.0,0.0,0.07252886114943213
3553203,2022,100.0,100.0,98.85,100.0,0.0,433.0,35.0,35.0,2596.0,2442.0,0.0,99.71730580137658,2.0,642.0,0.0,0.0028269419862341216
3554607,2022,61.36,60.23,99.98,100.0,24.76,173.0,17.21,17.8,974.0,934.0,0.0,75.84097151493437,471.0,173.0,0.0,0.24159028485065637
3556354,2022,42.13,31.36,76.16,95.95,23.56,170.7,68.34,29.06,2336.0,1534.0,0.0,56.37891145108272,610.0,34.0,0.0,0.43621088548917275
3501905,2022,78.7,74.76,88.58,54.75,40.45,187.8,341.66,238.5,24756.0,22632.0,0.0,69.63679426511415,538.0,106.0,0.0,0.30363205734885856
3504701,2022,39.95,39.52,100.0,100.0,19.71,118.7,10.02,8.3,635.0,626.0,0.0,65.13419001157996,572.0,72.0,0.0,0.3486580998842004
3516200,2022,96.95,96.27,97.3,100.0,25.8,165.1,1532.23,1264.2,142483.0,140857.0,0.0,94.31991932528736,64.0,580.0,0.0,0.0568008067471264
3525300,2022,96.9,96.9,93.97,100.0,33.53,183.9,952.67,789.49,56244.0,59837.0,0.0,92.69311681568526,122.0,522.0,0.0,0.07306883184314739
3526902,2022,97.02,97.02,83.34,100.0,20.19,181.9,1227.7,1075.21,105142.0,104388.0,0.0,91.79831858472558,148.0,496.0,0.0,0.0820168141527442
3530805,2022,91.99,87.64,98.43,100.0,50.82,184.4,586.0,450.0,37333.0,35520.0,0.0,87.87229329287352,271.0,373.0,0.0,0.12127706707126473
3532603,2022,79.91,79.49,96.83,100.0,14.62,187.1,60.59,44.16,4260.0,4225.0,0.0,86.48943072706598,304.0,340.0,0.0,0.13510569272934025
3534401,2022,100.0,93.91,65.71,57.05,30.69,161.2,1397.56,895.76,198339.0,161492.0,0.0,76.63712282883243,461.0,183.0,0.0,0.23362877171167573
3537800,2022,46.7,30.85,69.99,100.0,32.09,160.9,232.28,120.57,12716.0,7922.0,0.0,55.841815036921446,613.0,31.0,0.0,0.4415818496307855
3539608,2022,92.16,90.18,99.12,100.0,12.22,170.5,25.26,19.12,1798.0,1786.0,0.0,93.53519000897917,93.0,551.0,0.0,0.06464809991020826
3539806,2022,100.0,100.0,87.65,90.87,34.85,135.8,324.66,262.16,35595.0,34051.0,0.0,90.61499115724419,187.0,457.0,0.0,0.09385008842755804
3544806,2022,99.53,99.53,57.71,100.0,42.24,296.4,48.0,44.0,4116.0,3831.0,0.0,84.11499763449953,356.0,288.0,0.0,0.15885002365500467
3556404,2022,98.52,98.52,93.62,95.0,9.38,213.3,366.0,362.0,15963.0,15859.0,1156778.68,95.3614158172175,46.0,598.0,0.043599350060862185,0.04436344927210578
3557006,2022,96.29,95.68,80.26,93.01,17.21,173.6,553.0,430.48,39175.0,39363.0,0.0,89.30576199488522,218.0,426.0,0.0,0.10694238005114787
3502705,2022,66.5,49.27,71.51,100.0,18.93,147.2,129.47,63.26,7916.0,5335.0,0.0,68.14136694928847,548.0,96.0,0.0,0.31858633050711527
3508504,2022,90.93,81.78,82.31,99.2,30.81,173.9,492.07,293.9,37646.0,31837.0,0.0,84.39308012436479,351.0,293.0,0.0,0.15606919875635217
3514502,2022,80.93,80.39,99.99,100.0,24.11,157.6,61.42,69.2,5146.0,5074.0,0.0,86.60738002286124,300.0,344.0,0.0,0.13392619977138764
3515152,2022,100.0,100.0,100.0,0.0,48.53,114.3,45.5,44.0,4979.0,4853.0,0.0,71.76168693517796,513.0,131.0,0.0,0.2823831306482204
3515186,2022,88.65,87.59,95.47,100.0,39.85,170.5,178.44,138.59,15112.0,14885.0,0.0,87.56355429465182,275.0,369.0,0.0,0.12436445705348176
3515400,2022,71.75,70.84,93.48,100.0,26.21,162.8,58.45,48.07,5883.0,5759.0,0.0,79.7110801444856,421.0,223.0,0.0,0.20288919855514398
3516507,2022,83.64,82.56,99.47,100.0,16.59,180.4,19.96,11.32,1171.0,1153.0,0.0,88.72940967661572,243.0,401.0,0.0,0.11270590323384289
